,feature,importance,stddev,p_value,n,p99_high,p99_low,seed,fold,model
0,St-p2-Pd,0.07876923076923081,0.04728268652182607,2.372795677105515e-07,20,0.10901712026037841,0.04852134127808321,27431,1,KNeighborsUnif
1,St-p1-Pd,0.06200000000000004,0.04917278974517896,9.743904769388328e-06,20,0.09345703469063729,0.030542965309362784,27431,1,KNeighborsUnif
2,Tv-03-Pd,0.043269230769230796,0.042520901852655085,0.0001092419905946767,20,0.07047089029653661,0.01606757124192498,27431,1,KNeighborsUnif
3,FR-pd-Pd,0.03323076923076931,0.06701566492991122,0.019486467715635884,20,0.07610232700572808,-0.009640788544189462,27431,1,KNeighborsUnif
4,FR-p2-Pd,0.024038461538461574,0.020805748373203113,2.7412412077898484e-05,20,0.037348406972352435,0.010728516104570715,27431,1,KNeighborsUnif
5,Tv-11-Pd,0.0201153846153846,0.01030906692145467,2.2521975837057798e-08,20,0.02671034653348678,0.013520422697282423,27431,1,KNeighborsUnif
6,Tv-10-Pd,0.02007692307692307,0.010265549234697722,2.1733254355499296e-08,20,0.026644045667847276,0.013509800485998862,27431,1,KNeighborsUnif
7,Tv-01-Pd,0.019923076923076898,0.008303267677633926,8.352880370103375e-10,20,0.025234880071414355,0.01461127377473944,27431,1,KNeighborsUnif
8,Tv-08-Pd,0.019423076923076897,0.008329387626041433,1.3331624206790218e-09,20,0.024751589640414417,0.014094564205739377,27431,1,KNeighborsUnif
9,dm-edad,0.016500000000000015,0.01602605127680016,9.676480130975376e-05,20,0.026752256452821276,0.0062477435471787555,27431,1,KNeighborsUnif
10,Tv-09-Pd,0.012653846153846137,0.010444720346688223,1.5761940524607808e-05,20,0.01933558888152998,0.005972103426162294,27431,1,KNeighborsUnif
11,CC-pt-Pd,0.007884615384615374,0.008980670616455674,0.00045330707903191764,20,0.013629769739107341,0.002139461030123407,27431,1,KNeighborsUnif
12,Tv-02-Pd,0.003961538461538472,0.006305198480058874,0.0055907650137722266,20,0.007995127939508073,-7.205101643112822e-05,27431,1,KNeighborsUnif
13,CC-p1-Pd,0.0,0.0,0.5,20,0.0,0.0,27431,1,KNeighborsUnif
14,cl-RC_e,0.0,0.0,0.5,20,0.0,0.0,27431,1,KNeighborsUnif
15,dm-genero,0.0,0.0,0.5,20,0.0,0.0,27431,1,KNeighborsUnif
16,CC-p2-Pd,-0.0007692307692307665,0.002367642350965732,0.9187250004851365,20,0.0007454078745255216,-0.0022838694129870547,27431,1,KNeighborsUnif
17,FR-p1-Pd,-0.004961538461538478,0.009013899782382,0.9882157914100326,20,0.0008048734020495189,-0.010727950325126474,27431,1,KNeighborsUnif
18,St-p3-Pd,-0.006423076923076898,0.023318940111479444,0.883478721831328,20,0.008494618652810582,-0.021340772498964378,27431,1,KNeighborsUnif
19,St-p2-Pd,0.08223076923076915,0.04344471388009508,3.586413183805254e-08,20,0.11002341387698734,0.054438124584550954,27431,1,KNeighborsDist
20,St-p1-Pd,0.056730769230769175,0.05152962338866249,4.7163029575814124e-05,20,0.08969552797097372,0.023766010490564628,27431,1,KNeighborsDist
21,Tv-03-Pd,0.045769230769230715,0.04447800992122373,9.72981717871163e-05,20,0.0742229001321657,0.01731556140629572,27431,1,KNeighborsDist
