ConfusionMatrix,Balanced_accuracy,Precision_macro,Precision_micro,Precision_weighted,Recall_macro,Recall_micro,Recall_weighted,F1_weighted,F1_macro,Precision_0,Recall_0,Precision_1,Recall_1,Roc_auc,PR_auc,Tipo,Seed,ModelName,Roc_auc_byFold
[214  34  19  47],0.787512218963832,0.7493509246012823,0.8312101910828026,0.8473666252567869,0.787512218963832,0.8312101910828026,0.8312101910828026,0.8371900583001584,0.7646343360629075,0.9184549356223176,0.8629032258064516,0.5802469135802469,0.7121212121212122,0.8676380742913001,0.6138635135153806,testPredProba_S,27431,KNeighborsUnif,0.864730235042735
[214  34  19  47],0.787512218963832,0.7493509246012823,0.8312101910828026,0.8473666252567869,0.787512218963832,0.8312101910828026,0.8312101910828026,0.8371900583001584,0.7646343360629075,0.9184549356223176,0.8629032258064516,0.5802469135802469,0.7121212121212122,0.8777492668621701,0.6187069615862699,testPredProba_S,27431,KNeighborsDist,0.8672008547008547
[214  34  12  54],0.8405425219941349,0.7802695092518102,0.8535031847133758,0.8768530522518461,0.8405425219941349,0.8535031847133758,0.8535031847133758,0.8605675278254492,0.8021261438982958,0.9469026548672567,0.8629032258064516,0.6136363636363636,0.8181818181818182,0.9243035190615836,0.7698137114181088,testPredProba_S,27431,LightGBMXT,0.9331730769230766
[211  37  15  51],0.811766862170088,0.7565868865647627,0.8343949044585988,0.8592032579899668,0.811766862170088,0.8343949044585988,0.8343949044585988,0.8423806836287688,0.7763165104937257,0.9336283185840708,0.8508064516129032,0.5795454545454546,0.7727272727272727,0.9177663734115347,0.7710919792348919,testPredProba_S,27431,LightGBM,0.9228365384615383
[238  10  23  43],0.8055962854349952,0.8615990746764983,0.8949044585987261,0.8907412856084477,0.8055962854349952,0.8949044585987261,0.8949044585987261,0.8905060303500224,0.8289280348681712,0.9118773946360154,0.9596774193548387,0.8113207547169812,0.6515151515151515,0.9292827468230694,0.814622138946886,testPredProba_S,27431,RandomForestGini,0.9321047008547009
[237  11  21  45],0.8187316715542522,0.8610880398671097,0.8980891719745223,0.8944256935480457,0.8187316715542522,0.8980891719745223,0.8980891719745223,0.8949195226871363,0.8372319056567097,0.9186046511627907,0.9556451612903226,0.8035714285714286,0.6818181818181818,0.9311766862170088,0.8204887117951052,testPredProba_S,27431,RandomForestEntr,0.936565170940171
[221  27  15  51],0.8319281524926686,0.7951434159061277,0.8662420382165605,0.8770418289472591,0.8319281524926686,0.8662420382165605,0.8662420382165605,0.8701571300731694,0.8107782369146006,0.9364406779661016,0.8911290322580645,0.6538461538461539,0.7727272727272727,0.9308406647116325,0.8295363315624013,testPredProba_S,27431,CatBoost,0.938969017094017
[239   9  28  38],0.7697336265884653,0.8518208622200971,0.8821656050955414,0.8769242404170555,0.7697336265884653,0.8821656050955414,0.8821656050955414,0.8744328178433697,0.8003608557436206,0.8951310861423221,0.9637096774193549,0.8085106382978723,0.5757575757575758,0.9024926686217009,0.7709114279253371,testPredProba_S,27431,ExtraTreesGini,0.895178952991453
[239   9  30  36],0.7545821114369502,0.8442379182156134,0.8757961783439491,0.8698790045698861,0.7545821114369502,0.8757961783439491,0.8757961783439491,0.866569682940465,0.7866067227769356,0.8884758364312267,0.9637096774193549,0.8,0.5454545454545454,0.8994684750733137,0.7680949906325747,testPredProba_S,27431,ExtraTreesEntr,0.9017628205128206
[228  20  26  40],0.7627077223851417,0.7821522309711286,0.8535031847133758,0.8490897236571542,0.7627077223851417,0.8535031847133758,0.8535031847133758,0.8508906442776061,0.7716435843925884,0.8976377952755905,0.9193548387096774,0.6666666666666666,0.6060606060606061,0.8929007820136853,0.7195941337435003,testPredProba_S,27431,NeuralNetFastAI,0.9061698717948717
[224  24  15  51],0.8379765395894427,0.8086192468619247,0.8757961783439491,0.8831692561895371,0.8379765395894427,0.8757961783439491,0.8757961783439491,0.8786124561821897,0.8216610598977675,0.9372384937238494,0.9032258064516129,0.68,0.7727272727272727,0.919477028347996,0.795585389551741,testPredProba_S,27431,XGBoost,0.9286858974358975
[226  22  26  40],0.7586754643206256,0.7709933435739887,0.8471337579617835,0.8439278457770342,0.7586754643206256,0.8471337579617835,0.8471337579617835,0.8453566878980892,0.7645,0.8968253968253969,0.9112903225806451,0.6451612903225806,0.6060606060606061,0.8644916911045943,0.6704538664119257,testPredProba_S,27431,NeuralNetTorch,0.9096153846153845
[231  17  20  46],0.8142106549364614,0.8252387276291658,0.8821656050955414,0.8803487898572528,0.8142106549364614,0.8821656050955414,0.8821656050955414,0.8811496493208606,0.8195149989902286,0.9203187250996016,0.9314516129032258,0.7301587301587301,0.696969696969697,0.8842864125122191,0.7433638391609889,testPredProba_S,27431,LightGBMLarge,0.8972756410256411
[223  25  16  50],0.8283846529814272,0.7998605299860531,0.8694267515923567,0.8770620685979267,0.8283846529814272,0.8694267515923567,0.8694267515923567,0.8723874539351226,0.8125154732258582,0.9330543933054394,0.8991935483870968,0.6666666666666666,0.7575757575757576,0.9222873900293256,0.8186690940365382,testPredProba_S,27431,CatBoost_r177,0.9341079059829059
[218  30  23  43],0.7652737047898338,0.746802705621554,0.8312101910828026,0.8382441482045734,0.7652737047898338,0.8312101910828026,0.8312101910828026,0.8342521871682443,0.7551602889467568,0.9045643153526971,0.8790322580645161,0.589041095890411,0.6515151515151515,0.8476906158357771,0.5941086513825077,testPredProba_S,27431,NeuralNetTorch_r79,0.8787927350427349
[216  32  15  51],0.8218475073313782,0.7747613831951181,0.8503184713375797,0.8676761807757126,0.8218475073313782,0.8503184713375797,0.8503184713375797,0.8562012064526556,0.7932213363971361,0.935064935064935,0.8709677419354839,0.6144578313253012,0.7727272727272727,0.9204545454545454,0.7873909059146623,testPredProba_S,27431,LightGBM_r131,0.9251869658119658
[224  24  22  44],0.7849462365591398,0.7788139646102343,0.8535031847133758,0.8551815941538957,0.7849462365591398,0.8535031847133758,0.8535031847133758,0.8542998922712823,0.7817995045017826,0.9105691056910569,0.9032258064516129,0.6470588235294118,0.6666666666666666,0.8558162267839687,0.6753463679045557,testPredProba_S,27431,NeuralNetFastAI_r191,0.8731570512820512
[224  24  17  49],0.8228250244379276,0.8003467288125959,0.8694267515923567,0.8751834201573369,0.8228250244379276,0.8694267515923567,0.8694267515923567,0.8717799938471325,0.8105956952229627,0.9294605809128631,0.9032258064516129,0.6712328767123288,0.7424242424242424,0.9307795698924732,0.8288644174987235,testPredProba_S,27431,CatBoost_r9,0.9418803418803419
[199  49  15  51],0.7875733137829912,0.7199532710280374,0.7961783439490446,0.841645931305435,0.7875733137829912,0.7961783439490446,0.7961783439490446,0.8095517150079348,0.7379648463985813,0.9299065420560748,0.8024193548387096,0.51,0.7727272727272727,0.9000488758553274,0.7519679272026951,testPredProba_S,27431,LightGBM_r96,0.9041933760683758
[225  23  26  40],0.7566593352883675,0.7656674887750585,0.8439490445859873,0.8414506970601067,0.7566593352883675,0.8439490445859873,0.8439490445859873,0.8426035896411398,0.7609793229870594,0.896414342629482,0.907258064516129,0.6349206349206349,0.6060606060606061,0.8829423264907136,0.7261141966407617,testPredProba_S,27431,NeuralNetTorch_r22,0.9065705128205128
[225  23  19  47],0.8096896383186706,0.7967798594847775,0.8662420382165605,0.8694357016065274,0.8096896383186706,0.8662420382165605,0.8662420382165605,0.8676653355143518,0.8029053084648494,0.9221311475409836,0.907258064516129,0.6714285714285714,0.7121212121212122,0.9209433040078201,0.8126965613898486,testPredProba_S,27431,XGBoost_r33,0.9254807692307694
[236  12  25  41],0.7864125122189638,0.8388997325236753,0.8821656050955414,0.8767573710240582,0.7864125122189638,0.8821656050955414,0.8821656050955414,0.8772340340288131,0.8081920390946162,0.9042145593869731,0.9516129032258065,0.7735849056603774,0.6212121212121212,0.9123900293255132,0.7913387921162194,testPredProba_S,27431,ExtraTrees_r42,0.9173477564102562
[221  27  13  53],0.8470796676441837,0.8034722222222221,0.8726114649681529,0.885182236376504,0.8470796676441837,0.8726114649681529,0.8726114649681529,0.8768690934907885,0.8215199226965271,0.9444444444444444,0.8911290322580645,0.6625,0.803030303030303,0.9301686217008798,0.8213664945751399,testPredProba_S,27431,CatBoost_r137,0.9396901709401708
[227  21  21  45],0.7985703812316716,0.7985703812316716,0.8662420382165605,0.8662420382165605,0.7985703812316716,0.8662420382165605,0.8662420382165605,0.8662420382165605,0.7985703812316716,0.9153225806451613,0.9153225806451613,0.6818181818181818,0.6818181818181818,0.9033479960899315,0.6987688296661942,testPredProba_S,27431,NeuralNetFastAI_r102,0.9119925213675213
