,model,score_test,balanced_accuracy,f1,f1_macro,f1_micro,roc_auc,average_precision,precision,recall,log_loss,pac,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order,num_features,num_models,num_models_w_ancestors,memory_size,memory_size_w_ancestors,memory_size_min,memory_size_min_w_ancestors,num_ancestors,num_descendants,model_type,child_model_type,stopping_metric,hyperparameters,hyperparameters_fit,ag_args_fit,features,compile_time,child_hyperparameters,child_hyperparameters_fit,child_ag_args_fit,ancestors,descendants
0,NeuralNetFastAI_r11,1.0,0.75,0.5,0.5833333333333333,0.6,1.0,1.0,0.3333333333333333,1.0,-0.5626926772525387,-0.09299548277344952,0.7757774140752864,roc_auc,0.010742664337158203,0.006918907165527344,0.3018813133239746,0.010742664337158203,0.006918907165527344,0.3018813133239746,1,True,34,8,1,1,1364228,1364228,1364228,1364228,0,0,NNFastAiTabularModel,,log_loss,"{'layers': [800, 400], 'emb_drop': 0.026897798530914306, 'ps': 0.4569532219038436, 'bs': 128, 'lr': 0.08045277634470181, 'epochs': 31, 'early.stopping.min_delta': 0.0001, 'early.stopping.patience': 20, 'smoothing': 0.0}","{'epochs': 31, 'best_epoch': 0}","{'max_memory_usage_ratio': 1.0, 'max_time_limit_ratio': 1.0, 'max_time_limit': None, 'min_time_limit': 0, 'valid_raw_types': ['bool', 'int', 'float', 'category'], 'valid_special_types': None, 'ignored_type_group_special': ['text_ngram', 'text_as_category'], 'ignored_type_group_raw': None, 'get_features_kwargs': None, 'get_features_kwargs_extra': None, 'predict_1_batch_size': None, 'temperature_scalar': None}","['dm-genero', 'dm-edad', 'CC-p1-Pd', 'FR-p1-Pd', 'St-p2-Pd', 'St-p1-Pd', 'Tv-08-Pd', 'Tv-11-Pd']",,,,,[],[]
1,NeuralNetFastAI_r172,0.9722222222222222,0.9583333333333333,0.8571428571428571,0.9068322981366459,0.9333333333333333,0.9722222222222222,0.9166666666666665,0.75,1.0,-0.3657522669877186,0.2219585690294608,0.7839607201309329,roc_auc,0.0060634613037109375,0.004361391067504883,0.5520410537719727,0.0060634613037109375,0.004361391067504883,0.5520410537719727,1,True,88,8,1,1,60174,60174,60174,60174,0,0,NNFastAiTabularModel,,log_loss,"{'layers': [400], 'emb_drop': 0.05604276533830355, 'ps': 0.022591301744255762, 'bs': 512, 'lr': 0.027320709383189166, 'epochs': 32, 'early.stopping.min_delta': 0.0001, 'early.stopping.patience': 20, 'smoothing': 0.0}","{'epochs': 32, 'best_epoch': 2}","{'max_memory_usage_ratio': 1.0, 'max_time_limit_ratio': 1.0, 'max_time_limit': None, 'min_time_limit': 0, 'valid_raw_types': ['bool', 'int', 'float', 'category'], 'valid_special_types': None, 'ignored_type_group_special': ['text_ngram', 'text_as_category'], 'ignored_type_group_raw': None, 'get_features_kwargs': None, 'get_features_kwargs_extra': None, 'predict_1_batch_size': None, 'temperature_scalar': None}","['dm-genero', 'dm-edad', 'CC-p1-Pd', 'FR-p1-Pd', 'St-p2-Pd', 'St-p1-Pd', 'Tv-08-Pd', 'Tv-11-Pd']",,,,,[],[]
2,NeuralNetFastAI,0.9722222222222222,0.9166666666666667,0.75,0.8295454545454546,0.8666666666666667,0.9722222222222222,0.9166666666666665,0.6,1.0,-0.2779213647324737,0.38370481994648603,0.7823240589198036,roc_auc,0.009341239929199219,0.004429340362548828,0.6555991172790527,0.009341239929199219,0.004429340362548828,0.6555991172790527,1,True,10,8,1,1,132862,132862,132862,132862,0,0,NNFastAiTabularModel,,log_loss,"{'layers': None, 'emb_drop': 0.1, 'ps': 0.1, 'bs': 'auto', 'lr': 0.01, 'epochs': 'auto', 'early.stopping.min_delta': 0.0001, 'early.stopping.patience': 20, 'smoothing': 0.0}","{'epochs': 30, 'best_epoch': 4}","{'max_memory_usage_ratio': 1.0, 'max_time_limit_ratio': 1.0, 'max_time_limit': None, 'min_time_limit': 0, 'valid_raw_types': ['bool', 'int', 'float', 'category'], 'valid_special_types': None, 'ignored_type_group_special': ['text_ngram', 'text_as_category'], 'ignored_type_group_raw': None, 'get_features_kwargs': None, 'get_features_kwargs_extra': None, 'predict_1_batch_size': None, 'temperature_scalar': None}","['dm-genero', 'dm-edad', 'CC-p1-Pd', 'FR-p1-Pd', 'St-p2-Pd', 'St-p1-Pd', 'Tv-08-Pd', 'Tv-11-Pd']",,,,,[],[]
3,NeuralNetFastAI_r191,0.9722222222222222,0.9583333333333333,0.8571428571428571,0.9068322981366459,0.9333333333333333,0.9722222222222222,0.9166666666666665,0.75,1.0,-0.29805520393369395,0.3453623347960106,0.7675941080196399,roc_auc,0.012046098709106445,0.009055614471435547,1.5206832885742188,0.012046098709106445,0.009055614471435547,1.5206832885742188,1,True,17,8,1,1,1369006,1369006,1369006,1369006,0,0,NNFastAiTabularModel,,log_loss,"{'layers': [800, 400], 'emb_drop': 0.5411770367537934, 'ps': 0.23782946566604385, 'bs': 256, 'lr': 0.01519848858318159, 'epochs': 43, 'early.stopping.min_delta': 0.0001, 'early.stopping.patience': 20, 'smoothing': 0.0}","{'epochs': 43, 'best_epoch': 4}","{'max_memory_usage_ratio': 1.0, 'max_time_limit_ratio': 1.0, 'max_time_limit': None, 'min_time_limit': 0, 'valid_raw_types': ['bool', 'int', 'float', 'category'], 'valid_special_types': None, 'ignored_type_group_special': ['text_ngram', 'text_as_category'], 'ignored_type_group_raw': None, 'get_features_kwargs': None, 'get_features_kwargs_extra': None, 'predict_1_batch_size': None, 'temperature_scalar': None}","['dm-genero', 'dm-edad', 'CC-p1-Pd', 'FR-p1-Pd', 'St-p2-Pd', 'St-p1-Pd', 'Tv-08-Pd', 'Tv-11-Pd']",,,,,[],[]
4,NeuralNetFastAI_r156,0.9444444444444445,0.9166666666666667,0.75,0.8295454545454546,0.8666666666666667,0.9444444444444445,0.8055555555555556,0.6,1.0,-0.35620063816785424,0.23886772791027838,0.8314238952536825,roc_auc,0.010351181030273438,0.008452177047729492,1.434826135635376,0.010351181030273438,0.008452177047729492,1.434826135635376,1,True,43,8,1,1,61476,61476,61476,61476,0,0,NNFastAiTabularModel,,log_loss,"{'layers': [400], 'emb_drop': 0.5055288166864152, 'ps': 0.06572612802222005, 'bs': 2048, 'lr': 0.0047762208542912405, 'epochs': 44, 'early.stopping.min_delta': 0.0001, 'early.stopping.patience': 20, 'smoothing': 0.0}","{'epochs': 44, 'best_epoch': 8}","{'max_memory_usage_ratio': 1.0, 'max_time_limit_ratio': 1.0, 'max_time_limit': None, 'min_time_limit': 0, 'valid_raw_types': ['bool', 'int', 'float', 'category'], 'valid_special_types': None, 'ignored_type_group_special': ['text_ngram', 'text_as_category'], 'ignored_type_group_raw': None, 'get_features_kwargs': None, 'get_features_kwargs_extra': None, 'predict_1_batch_size': None, 'temperature_scalar': None}","['dm-genero', 'dm-edad', 'CC-p1-Pd', 'FR-p1-Pd', 'St-p2-Pd', 'St-p1-Pd', 'Tv-08-Pd', 'Tv-11-Pd']",,,,,[],[]
5,NeuralNetTorch_r14,0.9166666666666666,0.5000000000000002,0.0,0.4444444444444444,0.8,0.9166666666666666,0.8333333333333333,0.0,0.0,-0.3959316575239135,0.1695804767719456,0.8117839607201309,roc_auc,0.007866144180297852,0.003038167953491211,0.1214284896850586,0.007866144180297852,0.003038167953491211,0.1214284896850586,1,True,39,8,1,1,19800,19800,19800,19800,0,0,TabularNeuralNetTorchModel,,roc_auc,"{'num_epochs': 1000, 'epochs_wo_improve': None, 'activation': 'relu', 'embedding_size_factor': 1.0, 'embed_exponent': 0.56, 'max_embedding_dim': 100, 'y_range': None, 'y_range_extend': 0.05, 'dropout_prob': 0.3905837860053583, 'optimizer': 'adam', 'learning_rate': 0.0018297905295930797, 'weight_decay': 9.178069874232892e-08, 'proc.embed_min_categories': 4, 'proc.impute_strategy': 'median', 'proc.max_category_levels': 100, 'proc.skew_threshold': 0.99, 'use_ngram_features': False, 'num_layers': 1, 'hidden_size': 106, 'max_batch_size': 512, 'use_batchnorm': True, 'loss_function': 'auto'}","{'batch_size': 32, 'num_epochs': 2}","{'max_memory_usage_ratio': 1.0, 'max_time_limit_ratio': 1.0, 'max_time_limit': None, 'min_time_limit': 0, 'valid_raw_types': ['bool', 'int', 'float', 'category'], 'valid_special_types': None, 'ignored_type_group_special': ['text_ngram', 'text_as_category'], 'ignored_type_group_raw': None, 'get_features_kwargs': None, 'get_features_kwargs_extra': None, 'predict_1_batch_size': None, 'temperature_scalar': None}","['dm-genero', 'dm-edad', 'CC-p1-Pd', 'FR-p1-Pd', 'St-p2-Pd', 'St-p1-Pd', 'Tv-08-Pd', 'Tv-11-Pd']",,,,,[],[]
6,NeuralNetTorch_r197,0.888888888888889,0.7916666666666666,0.6666666666666666,0.7916666666666666,0.8666666666666667,0.888888888888889,0.7222222222222222,0.6666666666666666,0.6666666666666666,-0.3560072442180822,0.23921199094876797,0.8052373158756138,roc_auc,0.0037088394165039062,0.0030837059020996094,0.12567496299743652,0.0037088394165039062,0.0030837059020996094,0.12567496299743652,1,True,54,8,1,1,24249,24249,24249,24249,0,0,TabularNeuralNetTorchModel,,roc_auc,"{'num_epochs': 1000, 'epochs_wo_improve': None, 'activation': 'elu', 'embedding_size_factor': 1.0, 'embed_exponent': 0.56, 'max_embedding_dim': 100, 'y_range': None, 'y_range_extend': 0.05, 'dropout_prob': 0.18109219857068798, 'optimizer': 'adam', 'learning_rate': 0.00634181748507711, 'weight_decay': 5.3861175580695396e-08, 'proc.embed_min_categories': 4, 'proc.impute_strategy': 'median', 'proc.max_category_levels': 100, 'proc.skew_threshold': 0.99, 'use_ngram_features': False, 'num_layers': 1, 'hidden_size': 250, 'max_batch_size': 512, 'use_batchnorm': False, 'loss_function': 'auto'}","{'batch_size': 32, 'num_epochs': 5}","{'max_memory_usage_ratio': 1.0, 'max_time_limit_ratio': 1.0, 'max_time_limit': None, 'min_time_limit': 0, 'valid_raw_types': ['bool', 'int', 'float', 'category'], 'valid_special_types': None, 'ignored_type_group_special': ['text_ngram', 'text_as_category'], 'ignored_type_group_raw': None, 'get_features_kwargs': None, 'get_features_kwargs_extra': None, 'predict_1_batch_size': None, 'temperature_scalar': None}","['dm-genero', 'dm-edad', 'CC-p1-Pd', 'FR-p1-Pd', 'St-p2-Pd', 'St-p1-Pd', 'Tv-08-Pd', 'Tv-11-Pd']",,,,,[],[]
7,NeuralNetTorch_r79,0.888888888888889,0.75,0.5714285714285714,0.7204968944099379,0.8,0.888888888888889,0.7222222222222222,0.5,0.6666666666666666,-0.38986431856135634,0.17998406340563275,0.8052373158756138,roc_auc,0.006278514862060547,0.006970882415771484,0.9257385730743408,0.006278514862060547,0.006970882415771484,0.9257385730743408,1,True,15,8,1,1,173835,173835,173835,173835,0,0,TabularNeuralNetTorchModel,,roc_auc,"{'num_epochs': 1000, 'epochs_wo_improve': None, 'activation': 'elu', 'embedding_size_factor': 1.0, 'embed_exponent': 0.56, 'max_embedding_dim': 100, 'y_range': None, 'y_range_extend': 0.05, 'dropout_prob': 0.10077639529843717, 'optimizer': 'adam', 'learning_rate': 0.002735937344002146, 'weight_decay': 1.356433327634438e-12, 'proc.embed_min_categories': 4, 'proc.impute_strategy': 'median', 'proc.max_category_levels': 100, 'proc.skew_threshold': 0.99, 'use_ngram_features': False, 'num_layers': 4, 'hidden_size': 108, 'max_batch_size': 512, 'use_batchnorm': True, 'loss_function': 'auto'}","{'batch_size': 32, 'num_epochs': 9}","{'max_memory_usage_ratio': 1.0, 'max_time_limit_ratio': 1.0, 'max_time_limit': None, 'min_time_limit': 0, 'valid_raw_types': ['bool', 'int', 'float', 'category'], 'valid_special_types': None, 'ignored_type_group_special': ['text_ngram', 'text_as_category'], 'ignored_type_group_raw': None, 'get_features_kwargs': None, 'get_features_kwargs_extra': None, 'predict_1_batch_size': None, 'temperature_scalar': None}","['dm-genero', 'dm-edad', 'CC-p1-Pd', 'FR-p1-Pd', 'St-p2-Pd', 'St-p1-Pd', 'Tv-08-Pd', 'Tv-11-Pd']",,,,,[],[]
8,NeuralNetTorch_r89,0.888888888888889,0.6666666666666666,0.4444444444444444,0.6031746031746031,0.6666666666666666,0.888888888888889,0.8095238095238095,0.3333333333333333,0.6666666666666666,-0.38001194109771175,0.1970129725342275,0.8216039279869066,roc_auc,0.01026010513305664,0.0032689571380615234,0.2713472843170166,0.01026010513305664,0.0032689571380615234,0.2713472843170166,1,True,110,8,1,1,520932,520932,520932,520932,0,0,TabularNeuralNetTorchModel,,roc_auc,"{'num_epochs': 1000, 'epochs_wo_improve': None, 'activation': 'relu', 'embedding_size_factor': 1.0, 'embed_exponent': 0.56, 'max_embedding_dim': 100, 'y_range': None, 'y_range_extend': 0.05, 'dropout_prob': 0.33567564890346097, 'optimizer': 'adam', 'learning_rate': 0.006746560197328548, 'weight_decay': 1.6470047305392933e-10, 'proc.embed_min_categories': 4, 'proc.impute_strategy': 'median', 'proc.max_category_levels': 100, 'proc.skew_threshold': 0.99, 'use_ngram_features': False, 'num_layers': 3, 'hidden_size': 245, 'max_batch_size': 512, 'use_batchnorm': True, 'loss_function': 'auto'}","{'batch_size': 32, 'num_epochs': 3}","{'max_memory_usage_ratio': 1.0, 'max_time_limit_ratio': 1.0, 'max_time_limit': None, 'min_time_limit': 0, 'valid_raw_types': ['bool', 'int', 'float', 'category'], 'valid_special_types': None, 'ignored_type_group_special': ['text_ngram', 'text_as_category'], 'ignored_type_group_raw': None, 'get_features_kwargs': None, 'get_features_kwargs_extra': None, 'predict_1_batch_size': None, 'temperature_scalar': None}","['dm-genero', 'dm-edad', 'CC-p1-Pd', 'FR-p1-Pd', 'St-p2-Pd', 'St-p1-Pd', 'Tv-08-Pd', 'Tv-11-Pd']",,,,,[],[]
9,NeuralNetFastAI_r194,0.888888888888889,0.75,0.5714285714285714,0.7204968944099379,0.8,0.888888888888889,0.8095238095238095,0.5,0.6666666666666666,-0.4206641125966394,0.12781882683506407,0.8527004909983633,roc_auc,0.01643991470336914,0.00460505485534668,0.6253836154937744,0.01643991470336914,0.00460505485534668,0.6253836154937744,1,True,95,8,1,1,467702,467702,467702,467702,0,0,NNFastAiTabularModel,,log_loss,"{'layers': [400, 200, 100], 'emb_drop': 0.5117456464220826, 'ps': 0.2747013981281539, 'bs': 256, 'lr': 0.007212882302137526, 'epochs': 21, 'early.stopping.min_delta': 0.0001, 'early.stopping.patience': 20, 'smoothing': 0.0}","{'epochs': 21, 'best_epoch': 8}","{'max_memory_usage_ratio': 1.0, 'max_time_limit_ratio': 1.0, 'max_time_limit': None, 'min_time_limit': 0, 'valid_raw_types': ['bool', 'int', 'float', 'category'], 'valid_special_types': None, 'ignored_type_group_special': ['text_ngram', 'text_as_category'], 'ignored_type_group_raw': None, 'get_features_kwargs': None, 'get_features_kwargs_extra': None, 'predict_1_batch_size': None, 'temperature_scalar': None}","['dm-genero', 'dm-edad', 'CC-p1-Pd', 'FR-p1-Pd', 'St-p2-Pd', 'St-p1-Pd', 'Tv-08-Pd', 'Tv-11-Pd']",,,,,[],[]
