Model,Nvariables,nFolds,Seed,Balanced_accuracy,Precision_macro,Precision_micro,Precision_weighted,Recall_macro,Recall_micro,Recall_weighted,F1_weighted,F1_macro,Roc_auc,PR_auc,Log_loss,ROC_AUC
CatBoost,8,5,0,0.8821656050955414,0.8191908653567495,0.8821656050955414,,0.8364491691104594,0.8821656050955414,0.8821656050955414,0.8837158963154628,0.8272852959103275,,0.7973625332798331,0.2949627381520315,0.9247311827956989
CatBoost_r12,8,5,0,0.8853503184713376,0.8231749311294766,0.8853503184713376,,0.844024926686217,0.8853503184713376,0.8853503184713376,0.8871407660267099,0.8328305235137533,,0.7953358140729723,0.29598423422943937,0.9274193548387097
CatBoost_r128,8,5,0,0.89171974522293,0.8351267336202775,0.89171974522293,,0.8424975562072337,0.89171974522293,0.89171974522293,0.8923086160266,0.8387213728926219,,0.8184443600643946,0.2756993776286125,0.9333455522971652
CatBoost_r13,8,5,0,0.8757961783439491,0.8100909986668985,0.8757961783439491,,0.8268572825024438,0.8757961783439491,0.8757961783439491,0.8774302690892714,0.8179493659595344,,0.8043891907680735,0.2951099384776874,0.930229716520039
CatBoost_r137,8,5,0,0.8662420382165605,0.7956644144144145,0.8662420382165605,,0.8208088954056696,0.8662420382165605,0.8662420382165605,0.868967317531586,0.8069672131147541,,0.8198447423836296,0.28174808933623596,0.9317570869990225
CatBoost_r143,8,5,0,0.8789808917197452,0.8151639344262295,0.8789808917197452,,0.8288734115347018,0.8789808917197452,0.8789808917197452,0.8802686368939372,0.821676231468197,,0.7871834561913118,0.2951477009576412,0.9288245356793744
CatBoost_r163,8,5,0,0.8630573248407644,0.790869916509561,0.8630573248407644,,0.8299120234604105,0.8630573248407644,0.8630573248407644,0.8673532205689695,0.8072106803740986,,0.7878414312454014,0.3002642488703509,0.9229594330400782
CatBoost_r167,8,5,0,0.8662420382165605,0.7961432506887052,0.8662420382165605,,0.81524926686217,0.8662420382165605,0.8662420382165605,0.868330893697828,0.8049689440993788,,0.7670151315106781,0.3017351298248625,0.9285801564027371
CatBoost_r177,8,5,0,0.8630573248407644,0.7911018131101812,0.8630573248407644,,0.8187927663734116,0.8630573248407644,0.8630573248407644,0.8661624516880553,0.8033698865539487,,0.7853865787394049,0.3028677608453306,0.9192326490713587
CatBoost_r180,8,5,0,0.8821656050955414,0.8173779637377964,0.8821656050955414,,0.8475684261974584,0.8821656050955414,0.8821656050955414,0.884837458429257,0.8308066465696768,,0.8024269756153478,0.29429435815726646,0.9255865102639297
CatBoost_r198,8,5,0,0.8757961783439491,0.8100909986668985,0.8757961783439491,,0.8268572825024438,0.8757961783439491,0.8757961783439491,0.8774302690892714,0.8179493659595344,,0.7903769158679772,0.3018307085007583,0.9328567937438905
CatBoost_r49,8,5,0,0.8694267515923567,0.7998605299860531,0.8694267515923567,,0.8283846529814272,0.8694267515923567,0.8694267515923567,0.8723874539351226,0.8125154732258582,,0.8136029841075205,0.2925756761118576,0.9312683284457478
CatBoost_r5,8,5,0,0.8726114649681529,0.8051538108356291,0.8726114649681529,,0.8248411534701857,0.8726114649681529,0.8726114649681529,0.8746008511407887,0.8142561372375037,,0.8028347719189179,0.2869281385133402,0.93475073313783
CatBoost_r50,8,5,0,0.8757961783439491,0.8086192468619247,0.8757961783439491,,0.8379765395894427,0.8757961783439491,0.8757961783439491,0.8786124561821897,0.8216610598977675,,0.8194586467475293,0.2662582957702996,0.9424486803519061
CatBoost_r6,8,5,0,0.8821656050955414,0.8181947365429432,0.8821656050955414,,0.842008797653959,0.8821656050955414,0.8821656050955414,0.8842892627400952,0.8290741639816981,,0.8192487788457277,0.2632667835871905,0.9425708699902248
CatBoost_r60,8,5,0,0.8789808917197452,0.8133445945945945,0.8789808917197452,,0.8399926686217009,0.8789808917197452,0.8789808917197452,0.881446620623816,0.8253512880562061,,0.8059123400415856,0.2935849128018198,0.9293743890518085
CatBoost_r69,8,5,0,0.8726114649681529,0.8040137107474569,0.8726114649681529,,0.8359604105571847,0.8726114649681529,0.8726114649681529,0.8757863951289189,0.8180026662029792,,0.7758314698593132,0.2839912224820926,0.9331622678396871
CatBoost_r70,8,5,0,0.8885350318471338,0.8271187404081168,0.8885350318471338,,0.8516006842619745,0.8885350318471338,0.8885350318471338,0.8905438971865766,0.8383133983610658,,0.814695487604951,0.27088003669818245,0.937683284457478
CatBoost_r86,8,5,0,0.8789808917197452,0.8163558106169297,0.8789808917197452,,0.8233137829912023,0.8789808917197452,0.8789808917197452,0.8796390414414942,0.8197474167623422,,0.7977364793430273,0.28346228307194316,0.9304740957966764
CatBoost_r9,8,5,0,0.8885350318471338,0.8271187404081168,0.8885350318471338,,0.8516006842619745,0.8885350318471338,0.8885350318471338,0.8905438971865766,0.8383133983610658,,0.8049314516746664,0.28832975641371744,0.9313294232649072
ExtraTreesEntr,8,5,0,0.8630573248407644,0.8228353213764696,0.8630573248407644,,0.7298387096774194,0.8630573248407644,0.8630573248407644,0.8516436197025169,0.7613264746955154,,0.734230172867996,0.32312602189690814,0.8925342130987293
ExtraTreesGini,8,5,0,0.8630573248407644,0.8228353213764696,0.8630573248407644,,0.7298387096774194,0.8630573248407644,0.8630573248407644,0.8516436197025169,0.7613264746955154,,0.7288852785227573,0.3260771637838011,0.8894183773216031
ExtraTrees_r126,8,5,0,0.8503184713375797,0.7739426205264714,0.8503184713375797,,0.7829301075268817,0.8503184713375797,0.8503184713375797,0.8515261789612251,0.7782585831267372,,0.7354532669658259,0.38228021603628226,0.8911290322580645
ExtraTrees_r172,8,5,0,0.856687898089172,0.7824987210822486,0.856687898089172,,0.8036412512218964,0.856687898089172,0.856687898089172,0.8592707249541698,0.7921172264642273,,0.7653163350082901,0.3406037722743385,0.9083577712609971
ExtraTrees_r178,8,5,0,0.8535031847133758,0.7780856149500217,0.8535031847133758,,0.8127443792766373,0.8535031847133758,0.8535031847133758,0.8577911424610903,0.792757116620753,,0.7605776417824369,0.35492195692827694,0.9019428152492668
ExtraTrees_r197,8,5,0,0.8885350318471338,0.8767270230841844,0.8885350318471338,,0.7682062561094819,0.8885350318471338,0.8885350318471338,0.8792448067346068,0.8057308514963497,,0.7814796742148747,0.2864981961484343,0.9162390029325512
ExtraTrees_r4,8,5,0,0.7707006369426752,0.7020499108734403,0.7707006369426752,,0.7770039100684262,0.7707006369426752,0.7707006369426752,0.7882024688574488,0.7158085277554305,,0.7242557230549928,0.4760032372087676,0.8821480938416422
ExtraTrees_r42,8,5,0,0.8630573248407644,0.8337995337995338,0.8630573248407644,,0.7187194525904204,0.8630573248407644,0.8630573248407644,0.8489852586307385,0.7541291086224164,,0.7559189957329666,0.2994317770555142,0.9096713098729228
ExtraTrees_r49,8,5,0,0.8630573248407644,0.8228353213764696,0.8630573248407644,,0.7298387096774194,0.8630573248407644,0.8630573248407644,0.8516436197025169,0.7613264746955154,,0.7288852785227573,0.3260771637838011,0.8894183773216031
KNeighborsDist,8,5,0,0.8184713375796179,0.7297907949790795,0.8184713375796179,,0.7516495601173021,0.8184713375796179,0.8184713375796179,0.8225874359585849,0.7393507798505832,,0.6096734344167793,0.9416988206871011,0.8702956989247312
KNeighborsUnif,8,5,0,0.8184713375796179,0.7306975724697243,0.8184713375796179,,0.7572091886608016,0.8184713375796179,0.8184713375796179,0.8233946367507337,0.7419364141013625,,0.5621680676303654,0.9481694965734904,0.8609176441837733
LightGBM,8,5,0,0.8503184713375797,0.7735843793584379,0.8503184713375797,,0.7996089931573802,0.8503184713375797,0.8503184713375797,0.8537124471939209,0.78507871321013,,0.7531004506152345,0.32712468729809613,0.9183162267839687
LightGBMLarge,8,5,0,0.8821656050955414,0.8233858510966945,0.8821656050955414,,0.819770283479961,0.8821656050955414,0.8821656050955414,0.8818344011655874,0.821555285913957,,0.7549797329927487,0.31648877382057644,0.914711632453568
LightGBMXT,8,5,0,0.8630573248407644,0.790869916509561,0.8630573248407644,,0.8299120234604105,0.8630573248407644,0.8630573248407644,0.8673532205689695,0.8072106803740986,,0.7885254640905763,0.313257285743402,0.9226539589442816
LightGBM_r121,8,5,0,0.8694267515923567,0.8018041999408458,0.8694267515923567,,0.8117057673509287,0.8694267515923567,0.8694267515923567,0.8704802837746858,0.8065659980467283,,0.7741433304940685,0.3167804093912678,0.9197825024437928
LightGBM_r130,8,5,0,0.8057324840764332,0.7300681230913789,0.8057324840764332,,0.7991813294232648,0.8057324840764332,0.8057324840764332,0.8182360952525073,0.7492767851299169,,0.7394494094894661,0.37708126257956925,0.896871945259042
LightGBM_r131,8,5,0,0.8662420382165605,0.7953339230429014,0.8662420382165605,,0.8263685239491692,0.8662420382165605,0.8662420382165605,0.8695757148853647,0.8089027995131282,,0.7470966170979249,0.32972460708128076,0.9228983382209189
LightGBM_r135,8,5,0,0.8152866242038217,0.7387232415902141,0.8152866242038217,,0.805229716520039,0.8152866242038217,0.8152866242038217,0.8264440050339835,0.7587558946643354,,0.7705307263809432,0.3483693677452234,0.9115347018572825
LightGBM_r143,8,5,0,0.8407643312101911,0.7610278139939157,0.8407643312101911,,0.7935606060606061,0.8407643312101911,0.8407643312101911,0.8454251548490114,0.7747359963269054,,0.7567449988807332,0.3206466685389757,0.9228983382209188
LightGBM_r15,8,5,0,0.8757961783439491,0.812284730195178,0.8757961783439491,,0.8157380254154447,0.8757961783439491,0.8757961783439491,0.876137651598597,0.8139895192526772,,0.752511017958982,0.3074188107573123,0.9270527859237536
LightGBM_r161,8,5,0,0.8630573248407644,0.7925170068027211,0.8630573248407644,,0.802113880742913,0.8630573248407644,0.8630573248407644,0.8641622488368654,0.7971301930733979,,0.7620410112550363,0.3216042759648237,0.918010752688172
LightGBM_r188,8,5,0,0.8694267515923567,0.8003467288125959,0.8694267515923567,,0.8228250244379276,0.8694267515923567,0.8694267515923567,0.8717799938471325,0.8105956952229627,,0.7932278959511434,0.28262739945269005,0.9306573802541545
LightGBM_r196,8,5,0,0.8630573248407644,0.7909200504137213,0.8630573248407644,,0.824352394916911,0.8630573248407644,0.8630573248407644,0.8667713926365183,0.8053204527431331,,0.7773152635457328,0.3014089140973867,0.924731182795699
LightGBM_r30,8,5,0,0.8694267515923567,0.799523261548578,0.8694267515923567,,0.8339442815249267,0.8694267515923567,0.8694267515923567,0.8729680720487734,0.8143753154062432,,0.7896698489154368,0.3056089435926932,0.926930596285435
LightGBM_r42,8,5,0,0.856687898089172,0.7824131430110424,0.856687898089172,,0.8203201368523949,0.856687898089172,0.856687898089172,0.8611836029210145,0.7982437352752196,,0.7752640000726583,0.3191774387253163,0.9226539589442815
LightGBM_r94,8,5,0,0.8375796178343949,0.7591831492422296,0.8375796178343949,,0.8082233626588465,0.8375796178343949,0.8375796178343949,0.8445633312136398,0.7776667083177142,,0.7640939509198565,0.3533412147494044,0.910373900293255
LightGBM_r96,8,5,0,0.7961783439490446,0.7180650037792895,0.7961783439490446,,0.7820136852394917,0.7961783439490446,0.7961783439490446,0.8090350505964976,0.7359125315391084,,0.7328496747273852,0.3963158661194286,0.8875244379276638
NeuralNetFastAI,8,5,0,0.8630573248407644,0.7942848316342292,0.8630573248407644,,0.790994623655914,0.8630573248407644,0.8630573248407644,0.8626724121654124,0.7926183052513555,,0.7337040419982577,0.36283868247118495,0.8902126099706745
NeuralNetFastAI_r100,8,5,0,0.8535031847133758,0.7779842342342342,0.8535031847133758,,0.8016251221896383,0.8535031847133758,0.8535031847133758,0.8564880144393562,0.7885831381733021,,0.7506713443877574,0.37605088089748184,0.8848362658846529
NeuralNetFastAI_r102,8,5,0,0.8662420382165605,0.8119495008807986,0.8662420382165605,,0.7596529814271751,0.8662420382165605,0.8662420382165605,0.860143137466581,0.7808574277168494,,0.7374707299360425,0.31322830111012806,0.908357771260997
NeuralNetFastAI_r103,8,5,0,0.8503184713375797,0.7748841519925858,0.8503184713375797,,0.7718108504398826,0.8503184713375797,0.8503184713375797,0.8498977528319624,0.7733269848096211,,0.612600644564792,0.43074224186320803,0.8803763440860215
NeuralNetFastAI_r11,8,5,0,0.7738853503184714,0.6998177261335157,0.7738853503184714,,0.7679007820136852,0.7738853503184714,0.7738853503184714,0.7900221361358909,0.7147171356545996,,0.6810582166284616,0.6561572931622957,0.8517228739002932
NeuralNetFastAI_r111,8,5,0,0.8726114649681529,0.8130577427821523,0.8726114649681529,,0.7914833822091887,0.8726114649681529,0.8726114649681529,0.870339690676179,0.801429203819642,,0.7808643995036955,0.3034330025467762,0.9155058651026392
NeuralNetFastAI_r127,8,5,0,0.856687898089172,0.7880026586905948,0.856687898089172,,0.7647238514173997,0.856687898089172,0.856687898089172,0.8536723607400184,0.7752683896620278,,0.7479183231469428,0.30144385967190906,0.9108626588465298
NeuralNetFastAI_r134,8,5,0,0.8471337579617835,0.7697947214076246,0.8471337579617835,,0.7697947214076246,0.8471337579617835,0.8471337579617835,0.8471337579617835,0.7697947214076246,,0.6940226012369987,0.4836584101376712,0.8862414467253177
NeuralNetFastAI_r138,8,5,0,0.856687898089172,0.782625973613098,0.856687898089172,,0.8258797653958945,0.856687898089172,0.856687898089172,0.8617651438397572,0.8001612287326574,,0.7539014938513431,0.3712684174473757,0.8910068426197458
NeuralNetFastAI_r143,8,5,0,0.8598726114649682,0.7910906298003072,0.8598726114649682,,0.7778592375366569,0.8598726114649682,0.8598726114649682,0.8582436305732486,0.784125,,0.7272822856879786,0.3212267791538156,0.9032258064516129
